Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
39,2010-02-05,443,2572,0,0,0,0,0,209.8529663,8.554,FALSO
40,2010-02-05,1448,2788,0,0,0,0,0,131.5279032,5.892,FALSO
41,2010-02-05,3027,258,0,0,0,0,0,189.3816974,7.541,FALSO
42,2010-02-05,5434,2962,0,0,0,0,0,126.4420645,9.765,FALSO
43,2010-02-05,4731,2572,0,0,0,0,0,203.0642742,9.521,FALSO
44,2010-02-05,3153,2666,0,0,0,0,0,126.4420645,8.119,FALSO
45,2010-02-05,2731,2784,0,0,0,0,0,181.8711898,8.992,FALSO
1,2010-02-12,3851,2548,0,0,0,0,0,211.2421698,8.106,VERDADERO
2,2010-02-12,3849,2548,0,0,0,0,0,210.8979935,8.324,VERDADERO
3,2010-02-12,4793,2548,0,0,0,0,0,214.5747916,7.368,VERDADERO
4,2010-02-12,2884,2573,0,0,0,0,0,126.4962581,8.623,VERDADERO
5,2010-02-12,3981,2548,0,0,0,0,0,211.8004698,6.566,VERDADERO
6,2010-02-12,4057,2548,0,0,0,0,0,212.7700425,7.259,VERDADERO
7,2010-02-12,259,2572,0,0,0,0,0,189.4642725,9.014,VERDADERO
8,2010-02-12,3334,2548,0,0,0,0,0,214.6214189,6.299,VERDADERO
9,2010-02-12,3708,2548,0,0,0,0,0,214.8056534,6.415,VERDADERO
10,2010-02-12,4996,2828,0,0,0,0,0,126.4962581,9.765,VERDADERO
11,2010-02-12,4801,2548,0,0,0,0,0,214.5747916,7.368,VERDADERO
12,2010-02-12,4787,2946,0,0,0,0,0,126.4962581,13.975,VERDADERO
13,2010-02-12,3316,2671,0,0,0,0,0,126.4962581,8.316,VERDADERO
14,2010-02-12,2773,2773,0,0,0,0,0,181.982317,8.992,VERDADERO
15,2010-02-12,22,294,0,0,0,0,0,131.5866129,8.35,VERDADERO
16,2010-02-12,2087,2572,0,0,0,0,0,189.4642725,7.039,VERDADERO
17,2010-02-12,1836,2671,0,0,0,0,0,126.4962581,6.548,VERDADERO
18,2010-02-12,2641,2771,0,0,0,0,0,131.5866129,9.202,VERDADERO
19,2010-02-12,2322,294,0,0,0,0,0,131.5866129,8.35,VERDADERO
20,2010-02-12,2212,2773,0,0,0,0,0,204.3857472,8.187,VERDADERO
21,2010-02-12,3777,2548,0,0,0,0,0,210.8979935,8.324,VERDADERO
22,2010-02-12,2814,2771,0,0,0,0,0,135.4113076,8.283,VERDADERO
23,2010-02-12,1875,2771,0,0,0,0,0,131.5866129,5.892,VERDADERO
24,2010-02-12,2594,294,0,0,0,0,0,131.5866129,8.326,VERDADERO
25,2010-02-12,1964,2773,0,0,0,0,0,204.3857472,8.187,VERDADERO
26,2010-02-12,1814,2771,0,0,0,0,0,131.5866129,8.488,VERDADERO
27,2010-02-12,2981,294,0,0,0,0,0,135.4113076,8.237,VERDADERO
28,2010-02-12,4787,2946,0,0,0,0,0,126.4962581,13.975,VERDADERO
29,2010-02-12,2814,2771,0,0,0,0,0,131.5866129,10.064,VERDADERO
30,2010-02-12,3777,2548,0,0,0,0,0,210.8979935,8.324,VERDADERO
31,2010-02-12,3777,2548,0,0,0,0,0,210.8979935,8.324,VERDADERO
32,2010-02-12,2809,2572,0,0,0,0,0,189.4642725,9.014,VERDADERO
33,2010-02-12,5547,2828,0,0,0,0,0,126.4962581,10.115,VERDADERO
34,2010-02-12,3613,2573,0,0,0,0,0,126.4962581,9.521,VERDADERO
35,2010-02-12,2981,2773,0,0,0,0,0,135.4113076,9.262,VERDADERO
36,2010-02-12,4611,2539,0,0,0,0,0,209.9970208,8.554,VERDADERO
37,2010-02-12,4611,2548,0,0,0,0,0,209.9970208,8.554,VERDADERO
38,2010-02-12,4787,2946,0,0,0,0,0,126.4962581,13.975,VERDADERO
39,2010-02-12,4458,2548,0,0,0,0,0,209.9970208,8.554,VERDADERO
40,2010-02-12,2084,2771,0,0,0,0,0,131.5866129,5.892,VERDADERO
41,2010-02-12,2304,2572,0,0,0,0,0,189.4642725,7.541,VERDADERO
42,2010-02-12,4996,2828,0,0,0,0,0,126.4962581,9.765,VERDADERO
43,2010-02-12,4799,2548,0,0,0,0,0,203.2010968,9.521,VERDADERO
44,2010-02-12,3316,2671,0,0,0,0,0,126.4962581,8.119,VERDADERO
45,2010-02-12,2773,2773,0,0,0,0,0,181.982317,8.992,VERDADERO
1,2010-02-19,3993,2514,0,0,0,0,0,211.2891429,8.106,FALSO
2,2010-02-19,3969,2514,0,0,0,0,0,210.9451605,8.324,FALSO
3,2010-02-19,4707,2514,0,0,0,0,0,214.6198868,7.368,FALSO
4,2010-02-19,3645,254,0,0,0,0,0,126.5262857,8.623,FALSO
5,2010-02-19,4114,2514,0,0,0,0,0,211.8471283,6.566,FALSO
6,2010-02-19,4358,2514,0,0,0,0,0,212.8161546,7.259,FALSO
7,2010-02-19,2728,255,0,0,0,0,0,189.5340998,9.014,FALSO
8,2010-02-19,391,2514,0,0,0,0,0,214.6664878,6.299,FALSO
9,2010-02-19,4306,2514,0,0,0,0,0,214.8506185,6.415,FALSO
10,2010-02-19,5822,2915,0,0,0,0,0,126.5262857,9.765,FALSO
11,2010-02-19,483,2514,0,0,0,0,0,214.6198868,7.368,FALSO
12,2010-02-19,5483,2915,0,0,0,0,0,126.5262857,13.975,FALSO
13,2010-02-19,357,2654,0,0,0,0,0,126.5262857,8.316,FALSO
14,2010-02-19,3127,2745,0,0,0,0,0,182.0347816,8.992,FALSO
15,2010-02-19,2754,2909,0,0,0,0,0,131.637,8.35,FALSO
16,2010-02-19,2113,255,0,0,0,0,0,189.5340998,7.039,FALSO
17,2010-02-19,2506,2654,0,0,0,0,0,126.5262857,6.548,FALSO
18,2010-02-19,3091,2747,0,0,0,0,0,131.637,9.202,FALSO
19,2010-02-19,2857,2909,0,0,0,0,0,131.637,8.35,FALSO
20,2010-02-19,2543,2745,0,0,0,0,0,204.4321004,8.187,FALSO
21,2010-02-19,3975,2514,0,0,0,0,0,210.9451605,8.324,FALSO
22,2010-02-19,3196,2747,0,0,0,0,0,135.4657781,8.283,FALSO
23,2010-02-19,267,2747,0,0,0,0,0,131.637,5.892,FALSO
24,2010-02-19,3105,2909,0,0,0,0,0,131.637,8.326,FALSO
25,2010-02-19,2416,2745,0,0,0,0,0,204.4321004,8.187,FALSO
26,2010-02-19,2262,2747,0,0,0,0,0,131.637,8.488,FALSO
27,2010-02-19,3244,2909,0,0,0,0,0,135.4657781,8.237,FALSO
28,2010-02-19,5483,2915,0,0,0,0,0,126.5262857,13.975,FALSO
29,2010-02-19,3196,2747,0,0,0,0,0,131.637,10.064,FALSO
30,2010-02-19,3975,2514,0,0,0,0,0,210.9451605,8.324,FALSO
31,2010-02-19,3975,2514,0,0,0,0,0,210.9451605,8.324,FALSO
32,2010-02-19,2916,255,0,0,0,0,0,189.5340998,9.014,FALSO
33,2010-02-19,6216,2915,0,0,0,0,0,126.5262857,10.115,FALSO
34,2010-02-19,3836,254,0,0,0,0,0,126.5262857,9.521,FALSO
35,2010-02-19,3244,2745,0,0,0,0,0,135.4657781,9.262,FALSO
36,2010-02-19,4566,2472,0,0,0,0,0,210.0451024,8.554,FALSO
37,2010-02-19,4566,2514,0,0,0,0,0,210.0451024,8.554,FALSO
38,2010-02-19,5483,2915,0,0,0,0,0,126.5262857,13.975,FALSO
39,2010-02-19,4396,2514,0,0,0,0,0,210.0451024,8.554,FALSO
40,2010-02-19,2784,2747,0,0,0,0,0,131.637,5.892,FALSO
41,2010-02-19,2413,255,0,0,0,0,0,189.5340998,7.541,FALSO
42,2010-02-19,5822,2915,0,0,0,0,0,126.5262857,9.765,FALSO
43,2010-02-19,4877,2514,0,0,0,0,0,203.2479796,9.521,FALSO
44,2010-02-19,357,2654,0,0,0,0,0,126.5262857,8.119,FALSO
45,2010-02-19,3127,2745,0,0,0,0,0,182.0347816,8.992,FALSO
1,2010-02-26,4663,2561,0,0,0,0,0,211.3196429,8.106,FALSO
2,2010-02-26,461,2561,0,0,0,0,0,210.9759573,8.324,FALSO
3,2010-02-26,5205,2561,0,0,0,0,0,214.6475127,7.368,FALSO
4,2010-02-26,4136,259,0,0,0,0,0,126.5522857,8.623,FALSO
5,2010-02-26,467,2561,0,0,0,0,0,211.8771468,6.566,FALSO
6,2010-02-26,471,2561,0,0,0,0,0,212.845337,7.259,FALSO
7,2010-02-26,2491,2586,0,0,0,0,0,189.6018023,9.014,FALSO
8,2010-02-26,3791,2561,0,0,0,0,0,214.6940735,6.299,FALSO
9,2010-02-26,4383,2561,0,0,0,0,0,214.8780453,6.415,FALSO
10,2010-02-26,5277,2825,0,0,0,0,0,126.5522857,9.765,FALSO
11,2010-02-26,5279,2561,0,0,0,0,0,214.6475127,7.368,FALSO
12,2010-02-26,5023,2825,0,0,0,0,0,126.5522857,13.975,FALSO
13,2010-02-26,2998,2667,0,0,0,0,0,126.5522857,8.316,FALSO
14,2010-02-26,3489,2754,0,0,0,0,0,182.0774691,8.992,FALSO
15,2010-02-26,2987,291,0,0,0,0,0,131.686,8.35,FALSO
16,2010-02-26,1812,2586,0,0,0,0,0,189.6018023,7.039,FALSO
17,2010-02-26,1564,2667,0,0,0,0,0,126.5522857,6.548,FALSO
18,2010-02-26,3542,2753,0,0,0,0,0,131.686,9.202,FALSO
19,2010-02-26,3033,291,0,0,0,0,0,131.686,8.35,FALSO
20,2010-02-26,3232,2754,0,0,0,0,0,204.4630869,8.187,FALSO
21,2010-02-26,4531,2561,0,0,0,0,0,210.9759573,8.324,FALSO
22,2010-02-26,3598,2753,0,0,0,0,0,135.5195191,8.283,FALSO
23,2010-02-26,3268,2753,0,0,0,0,0,131.686,5.892,FALSO
24,2010-02-26,3398,291,0,0,0,0,0,131.686,8.326,FALSO
25,2010-02-26,2916,2754,0,0,0,0,0,204.4630869,8.187,FALSO
26,2010-02-26,2732,2753,0,0,0,0,0,131.686,8.488,FALSO
27,2010-02-26,36,291,0,0,0,0,0,135.5195191,8.237,FALSO
28,2010-02-26,5023,2825,0,0,0,0,0,126.5522857,13.975,FALSO
29,2010-02-26,3598,2753,0,0,0,0,0,131.686,10.064,FALSO
30,2010-02-26,4531,2561,0,0,0,0,0,210.9759573,8.324,FALSO
31,2010-02-26,4531,2561,0,0,0,0,0,210.9759573,8.324,FALSO
32,2010-02-26,2664,2586,0,0,0,0,0,189.6018023,9.014,FALSO
33,2010-02-26,565,2825,0,0,0,0,0,126.5522857,10.115,FALSO
34,2010-02-26,3728,259,0,0,0,0,0,126.5522857,9.521,FALSO
35,2010-02-26,36,2754,0,0,0,0,0,135.5195191,9.262,FALSO
36,2010-02-26,5087,252,0,0,0,0,0,210.0771885,8.554,FALSO
37,2010-02-26,5087,2561,0,0,0,0,0,210.0771885,8.554,FALSO
38,2010-02-26,5023,2825,0,0,0,0,0,126.5522857,13.975,FALSO
39,2010-02-26,4979,2561,0,0,0,0,0,210.0771885,8.554,FALSO
40,2010-02-26,3332,2753,0,0,0,0,0,131.686,5.892,FALSO
41,2010-02-26,2184,2586,0,0,0,0,0,189.6018023,7.541,FALSO
42,2010-02-26,5277,2825,0,0,0,0,0,126.5522857,9.765,FALSO
43,2010-02-26,4877,2561,0,0,0,0,0,203.2798724,9.521,FALSO
44,2010-02-26,2998,2667,0,0,0,0,0,126.5522857,8.119,FALSO
45,2010-02-26,3489,2754,0,0,0,0,0,182.0774691,8.992,FALSO
1,2010-03-05,465,2625,0,0,0,0,0,211.3501429,8.106,FALSO
2,2010-03-05,4717,2625,0,0,0,0,0,211.0067542,8.324,FALSO
3,2010-03-05,5304,2625,0,0,0,0,0,214.6751386,7.368,FALSO
4,2010-03-05,4349,2654,0,0,0,0,0,126.5782857,8.623,FALSO
5,2010-03-05,4889,2625,0,0,0,0,0,211.9071653,6.566,FALSO
6,2010-03-05,4963,2625,0,0,0,0,0,212.8745193,7.259,FALSO
7,2010-03-05,3586,262,0,0,0,0,0,189.6695049,9.014,FALSO
8,2010-03-05,4564,2625,0,0,0,0,0,214.7216592,6.299,FALSO
9,2010-03-05,4843,2625,0,0,0,0,0,214.9054721,6.415,FALSO
10,2010-03-05,5592,2877,0,0,0,0,0,126.5782857,9.765,FALSO
11,2010-03-05,5396,2625,0,0,0,0,0,214.6751386,7.368,FALSO
12,2010-03-05,5377,2987,0,0,0,0,0,126.5782857,13.975,FALSO
13,2010-03-05,4065,2681,0,0,0,0,0,126.5782857,8.316,FALSO
14,2010-03-05,3713,2777,0,0,0,0,0,182.1201566,8.992,FALSO
15,2010-03-05,3179,2919,0,0,0,0,0,131.735,8.35,FALSO
16,2010-03-05,2792,262,0,0,0,0,0,189.6695049,7.039,FALSO
17,2010-03-05,3158,2681,0,0,0,0,0,126.5782857,6.548,FALSO
18,2010-03-05,3717,2766,0,0,0,0,0,131.735,9.202,FALSO
19,2010-03-05,3292,2919,0,0,0,0,0,131.735,8.35,FALSO
20,2010-03-05,3175,2777,0,0,0,0,0,204.4940734,8.187,FALSO
21,2010-03-05,4861,2625,0,0,0,0,0,211.0067542,8.324,FALSO
22,2010-03-05,3682,2766,0,0,0,0,0,135.5732602,8.283,FALSO
23,2010-03-05,3315,2766,0,0,0,0,0,131.735,5.892,FALSO
24,2010-03-05,3673,2919,0,0,0,0,0,131.735,8.326,FALSO
25,2010-03-05,2945,2777,0,0,0,0,0,204.4940734,8.187,FALSO
26,2010-03-05,286,2766,0,0,0,0,0,131.735,8.488,FALSO
27,2010-03-05,3807,2919,0,0,0,0,0,135.5732602,8.237,FALSO
28,2010-03-05,5377,2987,0,0,0,0,0,126.5782857,13.975,FALSO
29,2010-03-05,3682,2766,0,0,0,0,0,131.735,10.064,FALSO
30,2010-03-05,4861,2625,0,0,0,0,0,211.0067542,8.324,FALSO
31,2010-03-05,4861,2625,0,0,0,0,0,211.0067542,8.324,FALSO
32,2010-03-05,3772,262,0,0,0,0,0,189.6695049,9.014,FALSO
33,2010-03-05,5917,2877,0,0,0,0,0,126.5782857,10.115,FALSO
34,2010-03-05,4265,2654,0,0,0,0,0,126.5782857,9.521,FALSO
35,2010-03-05,3807,2777,0,0,0,0,0,135.5732602,9.262,FALSO
36,2010-03-05,5133,2574,0,0,0,0,0,210.1092746,8.554,FALSO
37,2010-03-05,5133,2625,0,0,0,0,0,210.1092746,8.554,FALSO
38,2010-03-05,5377,2987,0,0,0,0,0,126.5782857,13.975,FALSO
39,2010-03-05,5093,2625,0,0,0,0,0,210.1092746,8.554,FALSO
40,2010-03-05,3478,2766,0,0,0,0,0,131.735,5.892,FALSO
41,2010-03-05,3249,262,0,0,0,0,0,189.6695049,7.541,FALSO
42,2010-03-05,5592,2877,0,0,0,0,0,126.5782857,9.765,FALSO
43,2010-03-05,5289,2625,0,0,0,0,0,203.3117653,9.521,FALSO
44,2010-03-05,4065,2681,0,0,0,0,0,126.5782857,8.119,FALSO
45,2010-03-05,3713,2777,0,0,0,0,0,182.1201566,8.992,FALSO
1,2010-03-12,5779,2667,0,0,0,0,0,211.3806429,8.106,FALSO
2,2010-03-12,5756,2667,0,0,0,0,0,211.037551,8.324,FALSO
3,2010-03-12,6308,2667,0,0,0,0,0,214.7027646,7.368,FALSO
4,2010-03-12,4963,2704,0,0,0,0,0,126.6042857,8.623,FALSO
5,2010-03-12,585,2667,0,0,0,0,0,211.9371839,6.566,FALSO
6,2010-03-12,5882,2667,0,0,0,0,0,212.9037017,7.259,FALSO
7,2010-03-12,2725,2684,0,0,0,0,0,189.7372075,9.014,FALSO
8,2010-03-12,4976,2667,0,0,0,0,0,214.7492449,6.299,FALSO
9,2010-03-12,5576,2667,0,0,0,0,0,214.932899,6.415,FALSO
10,2010-03-12,5233,3034,0,0,0,0,0,126.6042857,9.765,FALSO
11,2010-03-12,641,2667,0,0,0,0,0,214.7027646,7.368,FALSO
12,2010-03-12,5011,2925,0,0,0,0,0,126.6042857,13.975,FALSO
13,2010-03-12,3762,2733,0,0,0,0,0,126.6042857,8.316,FALSO
14,2010-03-12,458,2818,0,0,0,0,0,182.1628441,8.992,FALSO
15,2010-03-12,4139,2938,0,0,0,0,0,131.784,8.35,FALSO
16,2010-03-12,2864,2684,0,0,0,0,0,189.7372075,7.039,FALSO
17,2010-03-12,2971,2733,0,0,0,0,0,126.6042857,6.548,FALSO
18,2010-03-12,4239,2805,0,0,0,0,0,131.784,9.202,FALSO
19,2010-03-12,3906,2938,0,0,0,0,0,131.784,8.35,FALSO
20,2010-03-12,4382,2818,0,0,0,0,0,204.5250598,8.187,FALSO
21,2010-03-12,571,2667,0,0,0,0,0,211.037551,8.324,FALSO
22,2010-03-12,4343,2805,0,0,0,0,0,135.6270013,8.283,FALSO
23,2010-03-12,3607,2805,0,0,0,0,0,131.784,5.892,FALSO
24,2010-03-12,4231,2938,0,0,0,0,0,131.784,8.326,FALSO
25,2010-03-12,4005,2818,0,0,0,0,0,204.5250598,8.187,FALSO
26,2010-03-12,311,2805,0,0,0,0,0,131.784,8.488,FALSO
27,2010-03-12,4598,2938,0,0,0,0,0,135.6270013,8.237,FALSO
28,2010-03-12,5011,2925,0,0,0,0,0,126.6042857,13.975,FALSO
29,2010-03-12,4343,2805,0,0,0,0,0,131.784,10.064,FALSO
30,2010-03-12,571,2667,0,0,0,0,0,211.037551,8.324,FALSO
31,2010-03-12,571,2667,0,0,0,0,0,211.037551,8.324,FALSO
32,2010-03-12,3988,2684,0,0,0,0,0,189.7372075,9.014,FALSO
33,2010-03-12,5561,3034,0,0,0,0,0,126.6042857,10.115,FALSO
34,2010-03-12,4226,2704,0,0,0,0,0,126.6042857,9.521,FALSO
35,2010-03-12,4598,2818,0,0,0,0,0,135.6270013,9.262,FALSO
36,2010-03-12,6196,2619,0,0,0,0,0,210.1413607,8.554,FALSO
37,2010-03-12,6196,2667,0,0,0,0,0,210.1413607,8.554,FALSO
38,2010-03-12,5011,2925,0,0,0,0,0,126.6042857,13.975,FALSO
39,2010-03-12,6188,2667,0,0,0,0,0,210.1413607,8.554,FALSO
40,2010-03-12,351,2805,0,0,0,0,0,131.784,5.892,FALSO
41,2010-03-12,334,2684,0,0,0,0,0,189.7372075,7.541,FALSO
42,2010-03-12,5233,3034,0,0,0,0,0,126.6042857,9.765,FALSO
43,2010-03-12,5367,2667,0,0,0,0,0,203.3436582,9.521,FALSO
44,2010-03-12,3762,2733,0,0,0,0,0,126.6042857,8.119,FALSO
45,2010-03-12,458,2818,0,0,0,0,0,182.1628441,8.992,FALSO
1,2010-03-19,5458,272,0,0,0,0,0,211.215635,8.106,FALSO
2,2010-03-19,5452,272,0,0,0,0,0,210.8733316,8.324,FALSO
3,2010-03-19,6042,272,0,0,0,0,0,214.5301219,7.368,FALSO
4,2010-03-19,5519,2743,0,0,0,0,0,126.6066452,8.623,FALSO
5,2010-03-19,5546,272,0,0,0,0,0,211.770897,6.566,FALSO
6,2010-03-19,5655,272,0,0,0,0,0,212.7351935,7.259,FALSO
7,2010-03-19,2904,2692,0,0,0,0,0,189.734262,9.014,FALSO
8,2010-03-19,4726,272,0,0,0,0,0,214.5764954,6.299,FALSO
9,2010-03-19,5315,272,0,0,0,0,0,214.7597274,6.415,FALSO
10,2010-03-19,6146,3054,0,0,0,0,0,126.6066452,9.765,FALSO
11,2010-03-19,6151,272,0,0,0,0,0,214.5301219,7.368,FALSO
12,2010-03-19,5957,3054,0,0,0,0,0,126.6066452,13.975,FALSO
13,2010-03-19,4249,2782,0,0,0,0,0,126.6066452,8.316,FALSO
14,2010-03-19,4879,2844,0,0,0,0,0,182.0779857,8.992,FALSO
15,2010-03-19,4469,296,0,0,0,0,0,131.8242903,8.35,FALSO
16,2010-03-19,3345,2692,0,0,0,0,0,189.734262,7.039,FALSO
17,2010-03-19,3396,2782,0,0,0,0,0,126.6066452,6.548,FALSO
18,2010-03-19,4542,2834,0,0,0,0,0,131.8242903,9.202,FALSO
19,2010-03-19,4374,296,0,0,0,0,0,131.8242903,8.35,FALSO
20,2010-03-19,4732,2844,0,0,0,0,0,204.3782258,8.187,FALSO
21,2010-03-19,5468,272,0,0,0,0,0,210.8733316,8.324,FALSO
22,2010-03-19,4603,2834,0,0,0,0,0,135.6682247,8.283,FALSO
23,2010-03-19,4301,2834,0,0,0,0,0,131.8242903,5.892,FALSO
24,2010-03-19,4609,296,0,0,0,0,0,131.8242903,8.326,FALSO
25,2010-03-19,45,2844,0,0,0,0,0,204.3782258,8.187,FALSO
26,2010-03-19,3534,2834,0,0,0,0,0,131.8242903,8.488,FALSO
27,2010-03-19,4904,296,0,0,0,0,0,135.6682247,8.237,FALSO
28,2010-03-19,5957,3054,0,0,0,0,0,126.6066452,13.975,FALSO
29,2010-03-19,4603,2834,0,0,0,0,0,131.8242903,10.064,FALSO
30,2010-03-19,5468,272,0,0,0,0,0,210.8733316,8.324,FALSO
31,2010-03-19,5468,272,0,0,0,0,0,210.8733316,8.324,FALSO
32,2010-03-19,4243,2692,0,0,0,0,0,189.734262,9.014,FALSO
33,2010-03-19,646,3054,0,0,0,0,0,126.6066452,10.115,FALSO
34,2010-03-19,4586,2743,0,0,0,0,0,126.6066452,9.521,FALSO
35,2010-03-19,4904,2844,0,0,0,0,0,135.6682247,9.262,FALSO
36,2010-03-19,5956,2701,0,0,0,0,0,209.9803208,8.554,FALSO
37,2010-03-19,5956,272,0,0,0,0,0,209.9803208,8.554,FALSO
38,2010-03-19,5957,3054,0,0,0,0,0,126.6066452,13.975,FALSO
39,2010-03-19,5862,272,0,0,0,0,0,209.9803208,8.554,FALSO
40,2010-03-19,4054,2834,0,0,0,0,0,131.8242903,5.892,FALSO
41,2010-03-19,367,2692,0,0,0,0,0,189.734262,7.541,FALSO
42,2010-03-19,6146,3054,0,0,0,0,0,126.6066452,9.765,FALSO
43,2010-03-19,56,272,0,0,0,0,0,203.195159,9.521,FALSO
44,2010-03-19,4249,2782,0,0,0,0,0,126.6066452,8.119,FALSO
45,2010-03-19,4879,2844,0,0,0,0,0,182.0779857,8.992,FALSO
1,2010-03-26,5145,2732,0,0,0,0,0,211.0180424,8.106,FALSO
2,2010-03-26,5126,2732,0,0,0,0,0,210.6766095,8.324,FALSO
3,2010-03-26,5706,2732,0,0,0,0,0,214.3241011,7.368,FALSO
4,2010-03-26,3991,2752,0,0,0,0,0,126.6050645,8.623,FALSO
5,2010-03-26,5247,2732,0,0,0,0,0,211.5718925,6.566,FALSO
6,2010-03-26,5374,2732,0,0,0,0,0,212.533737,7.259,FALSO
7,2010-03-26,2333,2717,0,0,0,0,0,189.7195417,9.014,FALSO
8,2010-03-26,4651,2732,0,0,0,0,0,214.3703567,6.299,FALSO
9,2010-03-26,518,2732,0,0,0,0,0,214.5531227,6.415,FALSO
10,2010-03-26,6005,298,0,0,0,0,0,126.6050645,9.765,FALSO
11,2010-03-26,5809,2732,0,0,0,0,0,214.3241011,7.368,FALSO
12,2010-03-26,6006,3083,0,0,0,0,0,126.6050645,13.975,FALSO
13,2010-03-26,4148,2819,0,0,0,0,0,126.6050645,8.316,FALSO
14,2010-03-26,5436,2854,0,0,0,0,0,181.9718697,8.992,FALSO
15,2010-03-26,3953,2963,0,0,0,0,0,131.863129,8.35,FALSO
16,2010-03-26,2988,2717,0,0,0,0,0,189.7195417,7.039,FALSO
17,2010-03-26,3559,2819,0,0,0,0,0,126.6050645,6.548,FALSO
18,2010-03-26,4755,2831,0,0,0,0,0,131.863129,9.202,FALSO
19,2010-03-26,3907,2963,0,0,0,0,0,131.863129,8.35,FALSO
20,2010-03-26,5049,2854,0,0,0,0,0,204.201755,8.187,FALSO
21,2010-03-26,5166,2732,0,0,0,0,0,210.6766095,8.324,FALSO
22,2010-03-26,4856,2831,0,0,0,0,0,135.7073618,8.283,FALSO
23,2010-03-26,3859,2831,0,0,0,0,0,131.863129,5.892,FALSO
24,2010-03-26,4887,2963,0,0,0,0,0,131.863129,8.326,FALSO
25,2010-03-26,4584,2854,0,0,0,0,0,204.201755,8.187,FALSO
26,2010-03-26,3526,2831,0,0,0,0,0,131.863129,8.488,FALSO
27,2010-03-26,5234,2963,0,0,0,0,0,135.7073618,8.237,FALSO
28,2010-03-26,6006,3083,0,0,0,0,0,126.6050645,13.975,FALSO
29,2010-03-26,4856,2831,0,0,0,0,0,131.863129,10.064,FALSO
30,2010-03-26,5166,2732,0,0,0,0,0,210.6766095,8.324,FALSO
31,2010-03-26,5166,2732,0,0,0,0,0,210.6766095,8.324,FALSO
32,2010-03-26,3659,2717,0,0,0,0,0,189.7195417,9.014,FALSO
33,2010-03-26,6409,298,0,0,0,0,0,126.6050645,10.115,FALSO
